Trial,Time,Distance (feet and inches),Distance (meters)
1,1.19,21.91666667,6.6802
2,1.19,24,7.3152
3,1.3,22.08333333,6.731
4,1.18,22.58333333,6.8834
5,1.12,20.66666667,6.2992
6,1.18,24.16666667,7.366
7,1.19,19.70833333,6.0071
8,1.34,25.33333333,7.7216
9,1.42,25.41666667,7.747
10,1.19,20.16666667,6.1468
11,1.31,25.33333333,7.7216
12,1.11,15.41666667,4.699
13,1.1,17.75,5.4102
14,1.11,15.33333333,4.6736
15,1.31,20.83333333,6.35
16,1.17,20.5,6.2484
17,1.13,17.75,5.4102
18,1.28,23.66666667,7.2136
19,1.26,22.5,6.858
