Trial,Time,Distance (feet and inches),Distance (meters)
1,1.844608995,48.94900831,14.91965773
2,1.687262843,49.57295219,15.10983583
3,1.56333103,49.95873528,15.22742251
4,1.793903073,49.912973,15.21347417
5,1.663557833,48.65765522,14.83085331
6,1.804510885,49.60356657,15.11916709
7,1.602400725,50.22339445,15.30809063
8,1.833239595,48.4251405,14.75998282
9,2.332372225,49.10147362,14.96612916
10,1.782712369,48.91224468,14.90845218
11,1.930663129,48.95135255,14.92037226
12,1.963524475,48.64815021,14.82795618
13,1.713111213,49.49672349,15.08660132
14,1.918778122,49.19075177,14.99334114
15,1.304780766,48.47762759,14.77598089
16,1.621863072,49.40902338,15.05987033
17,1.61377063,49.08063689,14.95977812
18,1.702860228,48.89454809,14.90305826
19,1.69116835,48.81184492,14.87785033
20,1.764480472,48.24754898,14.70585293
21,1.698463826,48.72480989,14.85132205
22,1.989984883,48.4946292,14.78116298
23,1.859737535,49.19532375,14.99473468
24,1.867406702,49.02914522,14.94408346
25,1.641032557,50.08178685,15.26492863
26,1.624269064,49.44188978,15.06988801
27,2.070980356,49.4858691,15.0832929
28,1.410309102,49.94314331,15.22267008
29,1.457512966,48.98718974,14.93129543
30,1.890486476,49.57230339,15.10963807
