Trial,Time,Distance (feet and inches),Distance (meters)
1,1.73,49.08136483,14.96
2,1.73,49.08136483,14.96
3,1.73,49.08136483,14.96
4,1.73,49.08136483,14.96
5,1.73,49.08136483,14.96
6,1.73,49.08136483,14.96
7,1.73,49.08136483,14.96
8,1.73,49.08136483,14.96
9,1.73,49.08136483,14.96
10,1.73,49.08136483,14.96
11,1.73,49.08136483,14.96
12,1.73,49.08136483,14.96
13,1.73,49.08136483,14.96
14,1.73,49.08136483,14.96
15,1.73,49.08136483,14.96
16,1.73,49.08136483,14.96
17,1.73,49.08136483,14.96
18,1.73,49.08136483,14.96
19,1.73,49.08136483,14.96
20,1.73,49.08136483,14.96
21,1.73,49.08136483,14.96
22,1.73,49.08136483,14.96
23,1.73,49.08136483,14.96
24,1.73,49.08136483,14.96
25,1.73,49.08136483,14.96
26,1.73,49.08136483,14.96
27,1.73,49.08136483,14.96
28,1.73,49.08136483,14.96
29,1.73,49.08136483,14.96
30,1.73,49.08136483,14.96
